author_name,repo_name,repo_url,stars
mrdoob,three.js,http://github.com/mrdoob/three.js,80200
libgdx,libgdx,http://github.com/libgdx/libgdx,19800
pmndrs,react-three-fiber,http://github.com/pmndrs/react-three-fiber,17200
BabylonJS,Babylon.js,http://github.com/BabylonJS/Babylon.js,16100
aframevr,aframe,http://github.com/aframevr/aframe,13900
ssloy,tinyrenderer,http://github.com/ssloy/tinyrenderer,12800
lettier,3d-game-shaders-for-beginners,http://github.com/lettier/3d-game-shaders-for-beginners,12400
FreeCAD,FreeCAD,http://github.com/FreeCAD/FreeCAD,10900
metafizzy,zdog,http://github.com/metafizzy/zdog,9100
CesiumGS,cesium,http://github.com/CesiumGS/cesium,8400
timzhang642,3D-Machine-Learning,http://github.com/timzhang642/3D-Machine-Learning,7700
a1studmuffin,SpaceshipGenerator,http://github.com/a1studmuffin/SpaceshipGenerator,7100
isl-org,Open3D,http://github.com/isl-org/Open3D,6400
blender,blender,http://github.com/blender/blender,5000
domlysz,BlenderGIS,http://github.com/domlysz/BlenderGIS,4900
spritejs,spritejs,http://github.com/spritejs/spritejs,4800
openscad,openscad,http://github.com/openscad/openscad,4700
tensorspace-team,tensorspace,http://github.com/tensorspace-team/tensorspace,4600
jagenjo,webglstudio.js,http://github.com/jagenjo/webglstudio.js,4600
YadiraF,PRNet,http://github.com/YadiraF/PRNet,4600
AaronJackson,vrn,http://github.com/AaronJackson/vrn,4400
ssloy,tinyraytracer,http://github.com/ssloy/tinyraytracer,4100
google,model-viewer,http://github.com/google/model-viewer,4100
mosra,magnum,http://github.com/mosra/magnum,3800
gfxfundamentals,webgl-fundamentals,http://github.com/gfxfundamentals/webgl-fundamentals,3500
FyroxEngine,Fyrox,http://github.com/FyroxEngine/Fyrox,3500
tengbao,vanta,http://github.com/tengbao/vanta,3300
cleardusk,3DDFA,http://github.com/cleardusk/3DDFA,3200
jasonlong,isometric-contributions,http://github.com/jasonlong/isometric-contributions,3100
cnr-isti-vclab,meshlab,http://github.com/cnr-isti-vclab/meshlab,2800
