author_name,repo_name,repo_url,stars
public-apis,public-apis,http://github.com/public-apis/public-apis,185000
neovim,neovim,http://github.com/neovim/neovim,51700
strapi,strapi,http://github.com/strapi/strapi,43800
tiangolo,fastapi,http://github.com/tiangolo/fastapi,43000
hoppscotch,hoppscotch,http://github.com/hoppscotch/hoppscotch,39000
slatedocs,slate,http://github.com/slatedocs/slate,33800
hasura,graphql-engine,http://github.com/hasura/graphql-engine,26100
YMFE,yapi,http://github.com/YMFE/yapi,23800
ccxt,ccxt,http://github.com/ccxt/ccxt,23700
Binaryify,NeteaseCloudMusicApi,http://github.com/Binaryify/NeteaseCloudMusicApi,23200
encode,django-rest-framework,http://github.com/encode/django-rest-framework,23000
littlecodersh,ItChat,http://github.com/littlecodersh/ItChat,22100
paularmstrong,normalizr,http://github.com/paularmstrong/normalizr,20900
Kong,insomnia,http://github.com/Kong/insomnia,20200
FallibleInc,security-guide-for-developers,http://github.com/FallibleInc/security-guide-for-developers,20100
microsoft,api-guidelines,http://github.com/microsoft/api-guidelines,18800
pubkey,rxdb,http://github.com/pubkey/rxdb,17100
shieldfy,API-Security-Checklist,http://github.com/shieldfy/API-Security-Checklist,17000
directus,directus,http://github.com/directus/directus,14300
ChainSafe,web3.js,http://github.com/ChainSafe/web3.js,14000
learn-anything,learn-anything,http://github.com/learn-anything/learn-anything,13700
youfou,wxpy,http://github.com/youfou/wxpy,13200
jsdoc,jsdoc,http://github.com/jsdoc/jsdoc,12800
BrainJS,brain.js,http://github.com/BrainJS/brain.js,12500
fangzesheng,free-api,http://github.com/fangzesheng/free-api,12000
OpenAPITools,openapi-generator,http://github.com/OpenAPITools/openapi-generator,11500
graphile,postgraphile,http://github.com/graphile/postgraphile,11200
go-chi,chi,http://github.com/go-chi/chi,11100
postmanlabs,httpbin,http://github.com/postmanlabs/httpbin,10700
star7th,showdoc,http://github.com/star7th/showdoc,10300
