author_name,repo_name,repo_url,stars
aspnetboilerplate,aspnetboilerplate,http://github.com/aspnetboilerplate/aspnetboilerplate,10200
dotnet,AspNetCore.Docs,http://github.com/dotnet/AspNetCore.Docs,10200
bitwarden,server,http://github.com/bitwarden/server,9400
nopSolutions,nopCommerce,http://github.com/nopSolutions/nopCommerce,7100
ElectronNET,Electron.NET,http://github.com/ElectronNET/Electron.NET,6200
RicoSuter,NSwag,http://github.com/RicoSuter/NSwag,5000
thangchung,clean-code-dotnet,http://github.com/thangchung/clean-code-dotnet,4700
JimBobSquarePants,ImageProcessor,http://github.com/JimBobSquarePants/ImageProcessor,2500
smartstore,SmartStoreNET,http://github.com/smartstore/SmartStoreNET,2400
dotnet,aspnet-api-versioning,http://github.com/dotnet/aspnet-api-versioning,2200
loic-sharma,BaGet,http://github.com/loic-sharma/BaGet,2000
mjebrahimi,Awesome-Microservices-DotNet,http://github.com/mjebrahimi/Awesome-Microservices-DotNet,1700
TrilonIO,aspnetcore-angular-universal,http://github.com/TrilonIO/aspnetcore-angular-universal,1500
TrilonIO,aspnetcore-Vue-starter,http://github.com/TrilonIO/aspnetcore-Vue-starter,1200
lampo1024,DncZeus,http://github.com/lampo1024/DncZeus,1200
MarimerLLC,csla,http://github.com/MarimerLLC/csla,993
riganti,dotvvm,http://github.com/riganti/dotvvm,600
cornflourblue,aspnet-core-3-jwt-authentication-api,http://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api,593
json-api-dotnet,JsonApiDotNetCore,http://github.com/json-api-dotnet/JsonApiDotNetCore,546
antonioCoco,SharPyShell,http://github.com/antonioCoco/SharPyShell,534
chsakell,mvcarchitecture,http://github.com/chsakell/mvcarchitecture,453
brthor,Gofer.NET,http://github.com/brthor/Gofer.NET,436
YAFNET,YAFNET,http://github.com/YAFNET/YAFNET,426
IvanJosipovic,BlazorTable,http://github.com/IvanJosipovic/BlazorTable,382
Maarten88,rrod,http://github.com/Maarten88/rrod,378
SapphireDb,SapphireDb,http://github.com/SapphireDb/SapphireDb,369
Taritsyn,WebMarkupMin,http://github.com/Taritsyn/WebMarkupMin,354
chsakell,aspnet-core-identity,http://github.com/chsakell/aspnet-core-identity,341
EEParker,aspnetcore-vueclimiddleware,http://github.com/EEParker/aspnetcore-vueclimiddleware,322
smartstore,Smartstore,http://github.com/smartstore/Smartstore,288
