author_name,repo_name,repo_url,stars
metafizzy,infinite-scroll,http://github.com/metafizzy/infinite-scroll,7000
ljianshu,Blog,http://github.com/ljianshu/Blog,7000
developit,unfetch,http://github.com/developit/unfetch,5300
jquery-form,form,http://github.com/jquery-form/form,5100
olifolkerd,tabulator,http://github.com/olifolkerd/tabulator,4400
Studio-42,elFinder,http://github.com/Studio-42/elFinder,4200
ded,reqwest,http://github.com/ded/reqwest,2900
dwyl,learn-to-send-email-via-google-script-html-no-server,http://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,2800
LeaVerou,bliss,http://github.com/LeaVerou/bliss,2400
elbywan,wretch,http://github.com/elbywan/wretch,2400
noelboss,featherlight,http://github.com/noelboss/featherlight,2000
wendux,Ajax-hook,http://github.com/wendux/Ajax-hook,2000
yisainan,web-interview,http://github.com/yisainan/web-interview,2000
craftpip,jquery-confirm,http://github.com/craftpip/jquery-confirm,1800
ptaoussanis,sente,http://github.com/ptaoussanis/sente,1600
joaomilho,Enterprise,http://github.com/joaomilho/Enterprise,1500
nette,tracy,http://github.com/nette/tracy,1500
u014427391,jeeplatform,http://github.com/u014427391/jeeplatform,1300
loadingio,css-spinner,http://github.com/loadingio/css-spinner,1300
MoOx,pjax,http://github.com/MoOx/pjax,1300
codingforentrepreneurs,eCommerce,http://github.com/codingforentrepreneurs/eCommerce,1200
danielm,uploader,http://github.com/danielm/uploader,1100
renderedtext,render_async,http://github.com/renderedtext/render_async,1000
swlib,saber,http://github.com/swlib/saber,947
proyecto26,RestClient,http://github.com/proyecto26/RestClient,878
k8w,tsrpc,http://github.com/k8w/tsrpc,866
webcreate,infinite-ajax-scroll,http://github.com/webcreate/infinite-ajax-scroll,848
opensource-socialnetwork,opensource-socialnetwork,http://github.com/opensource-socialnetwork/opensource-socialnetwork,846
rapidjs,rapid.js,http://github.com/rapidjs/rapid.js,709
csxiaoyaojianxian,JavaScriptStudy,http://github.com/csxiaoyaojianxian/JavaScriptStudy,599
