author_name,repo_name,repo_url,stars
jwasham,coding-interview-university,http://github.com/jwasham/coding-interview-university,214000
CyC2018,CS-Notes,http://github.com/CyC2018/CS-Notes,148000
trekhleb,javascript-algorithms,http://github.com/trekhleb/javascript-algorithms,137000
TheAlgorithms,Python,http://github.com/TheAlgorithms/Python,132000
yangshun,tech-interview-handbook,http://github.com/yangshun/tech-interview-handbook,67300
kdn251,interviews,http://github.com/kdn251/interviews,56500
azl397985856,leetcode,http://github.com/azl397985856/leetcode,47000
TheAlgorithms,Java,http://github.com/TheAlgorithms/Java,45000
algorithm-visualizer,algorithm-visualizer,http://github.com/algorithm-visualizer/algorithm-visualizer,36500
crossoverJie,JCSprout,http://github.com/crossoverJie/JCSprout,26600
donnemartin,interactive-coding-challenges,http://github.com/donnemartin/interactive-coding-challenges,24900
youngyangyang04,leetcode-master,http://github.com/youngyangyang04/leetcode-master,24500
halfrost,LeetCode-Go,http://github.com/halfrost/LeetCode-Go,23800
huihut,interview,http://github.com/huihut/interview,23200
keon,algorithms,http://github.com/keon/algorithms,20500
trekhleb,homemade-machine-learning,http://github.com/trekhleb/homemade-machine-learning,19000
TheAlgorithms,Javascript,http://github.com/TheAlgorithms/Javascript,18600
TheAlgorithms,C-Plus-Plus,http://github.com/TheAlgorithms/C-Plus-Plus,18600
mxgmn,WaveFunctionCollapse,http://github.com/mxgmn/WaveFunctionCollapse,17500
AtsushiSakai,PythonRobotics,http://github.com/AtsushiSakai/PythonRobotics,14700
greyireland,algorithm-pattern,http://github.com/greyireland/algorithm-pattern,13300
OpenGenus,cosmos,http://github.com/OpenGenus/cosmos,13000
williamfiset,Algorithms,http://github.com/williamfiset/Algorithms,12200
halfrost,Halfrost-Field,http://github.com/halfrost/Halfrost-Field,10700
apachecn,apachecn-algo-zh,http://github.com/apachecn/apachecn-algo-zh,10500
lnishan,awesome-competitive-programming,http://github.com/lnishan/awesome-competitive-programming,9500
Blankj,awesome-java-leetcode,http://github.com/Blankj/awesome-java-leetcode,8400
jeffgerickson,algorithms,http://github.com/jeffgerickson/algorithms,7500
mgechev,javascript-algorithms,http://github.com/mgechev/javascript-algorithms,7200
LeetCode-OpenSource,vscode-leetcode,http://github.com/LeetCode-OpenSource/vscode-leetcode,7100
