author_name,repo_name,repo_url,stars
serverless,serverless,http://github.com/serverless/serverless,42300
localstack,localstack,http://github.com/localstack/localstack,39100
donnemartin,data-science-ipython-notebooks,http://github.com/donnemartin/data-science-ipython-notebooks,22600
bregman-arie,devops-exercises,http://github.com/bregman-arie/devops-exercises,21700
ramitsurana,awesome-kubernetes,http://github.com/ramitsurana/awesome-kubernetes,12600
aws,aws-cli,http://github.com/aws/aws-cli,12100
kubernetes-sigs,kubespray,http://github.com/kubernetes-sigs/kubespray,12000
pulumi,pulumi,http://github.com/pulumi/pulumi,11700
donnemartin,awesome-aws,http://github.com/donnemartin/awesome-aws,10200
apereo,cas,http://github.com/apereo/cas,9300
mozilla,sops,http://github.com/mozilla/sops,9300
aws,chalice,http://github.com/aws/chalice,8700
aws-amplify,amplify-js,http://github.com/aws-amplify/amplify-js,8600
apex,up,http://github.com/apex/up,8500
aws,serverless-application-model,http://github.com/aws/serverless-application-model,8400
aws,aws-cdk,http://github.com/aws/aws-cdk,8400
caprover,caprover,http://github.com/caprover/caprover,8300
google,go-cloud,http://github.com/google/go-cloud,8300
angristan,openvpn-install,http://github.com/angristan/openvpn-install,7700
aws,aws-sdk-go,http://github.com/aws/aws-sdk-go,7500
boto,boto3,http://github.com/boto/boto3,7100
hashicorp,terraform-provider-aws,http://github.com/hashicorp/terraform-provider-aws,7000
GoogleCloudPlatform,terraformer,http://github.com/GoogleCloudPlatform/terraformer,7000
aws,aws-sdk-js,http://github.com/aws/aws-sdk-js,7000
aws,amazon-sagemaker-examples,http://github.com/aws/amazon-sagemaker-examples,6700
awslabs,aws-shell,http://github.com/awslabs/aws-shell,6500
99designs,aws-vault,http://github.com/99designs/aws-vault,6000
gruntwork-io,terratest,http://github.com/gruntwork-io/terratest,6000
aws,aws-sam-cli,http://github.com/aws/aws-sam-cli,5900
gruntwork-io,terragrunt,http://github.com/gruntwork-io/terragrunt,5700
