author_name,repo_name,repo_url,stars
amphp,amp,http://github.com/amphp/amp,3500
danog,MadelineProto,http://github.com/danog/MadelineProto,1900
amphp,http-server,http://github.com/amphp/http-server,1200
unreal4u,telegram-api,http://github.com/unreal4u/telegram-api,695
amphp,http-client,http://github.com/amphp/http-client,600
amphp,parallel,http://github.com/amphp/parallel,570
php-service-bus,service-bus,http://github.com/php-service-bus/service-bus,316
amphp,byte-stream,http://github.com/amphp/byte-stream,277
amphp,mysql,http://github.com/amphp/mysql,268
amphp,parallel-functions,http://github.com/amphp/parallel-functions,220
amphp,process,http://github.com/amphp/process,163
amphp,socket,http://github.com/amphp/socket,153
amphp,redis,http://github.com/amphp/redis,122
amphp,dns,http://github.com/amphp/dns,110
kelunik,acme,http://github.com/kelunik/acme,106
amphp,sync,http://github.com/amphp/sync,100
amphp,websocket-client,http://github.com/amphp/websocket-client,98
PeeHaa,mailgrab,http://github.com/PeeHaa/mailgrab,91
amphp,websocket-server,http://github.com/amphp/websocket-server,75
amphp,file,http://github.com/amphp/file,72
jolicode,asynit,http://github.com/jolicode/asynit,68
amphp,cache,http://github.com/amphp/cache,66
amphp,serialization,http://github.com/amphp/serialization,65
amphp,postgres,http://github.com/amphp/postgres,64
amphp,windows-registry,http://github.com/amphp/windows-registry,61
amphp,hpack,http://github.com/amphp/hpack,60
amphp,beanstalk,http://github.com/amphp/beanstalk,57
phpinnacle,ridge,http://github.com/phpinnacle/ridge,45
amphp,aerys,http://github.com/amphp/aerys,42
amphp,cluster,http://github.com/amphp/cluster,41
