author_name,repo_name,repo_url,stars
flutter,flutter,http://github.com/flutter/flutter,138000
justjavac,free-programming-books-zh_CN,http://github.com/justjavac/free-programming-books-zh_CN,88200
Genymobile,scrcpy,http://github.com/Genymobile/scrcpy,62700
Hack-with-Github,Awesome-Hacking,http://github.com/Hack-with-Github/Awesome-Hacking,49900
google,material-design-icons,http://github.com/google/material-design-icons,45300
wasabeef,awesome-android-ui,http://github.com/wasabeef/awesome-android-ui,42300
square,okhttp,http://github.com/square/okhttp,41800
android,architecture-samples,http://github.com/android/architecture-samples,40300
Solido,awesome-flutter,http://github.com/Solido/awesome-flutter,39800
square,retrofit,http://github.com/square/retrofit,39700
PhilJay,MPAndroidChart,http://github.com/PhilJay/MPAndroidChart,34800
fastlane,fastlane,http://github.com/fastlane/fastlane,34300
airbnb,lottie-android,http://github.com/airbnb/lottie-android,32500
shadowsocks,shadowsocks-android,http://github.com/shadowsocks/shadowsocks-android,32400
bumptech,glide,http://github.com/bumptech/glide,32400
Trinea,android-open-project,http://github.com/Trinea/android-open-project,30900
Blankj,AndroidUtilCode,http://github.com/Blankj/AndroidUtilCode,30500
xitu,gold-miner,http://github.com/xitu/gold-miner,30300
bilibili,ijkplayer,http://github.com/bilibili/ijkplayer,30100
skylot,jadx,http://github.com/skylot/jadx,29400
zxing,zxing,http://github.com/zxing/zxing,29300
laurent22,joplin,http://github.com/laurent22/joplin,28700
codepath,android_guides,http://github.com/codepath/android_guides,27700
square,leakcanary,http://github.com/square/leakcanary,27300
alibaba,fastjson,http://github.com/alibaba/fastjson,24200
scwang90,SmartRefreshLayout,http://github.com/scwang90/SmartRefreshLayout,23400
CymChad,BaseRecyclerViewAdapterHelper,http://github.com/CymChad/BaseRecyclerViewAdapterHelper,22700
react-native-elements,react-native-elements,http://github.com/react-native-elements/react-native-elements,22100
google,iosched,http://github.com/google/iosched,21200
NativeScript,NativeScript,http://github.com/NativeScript/NativeScript,21000
