author_name,repo_name,repo_url,stars
justjavac,free-programming-books-zh_CN,http://github.com/justjavac/free-programming-books-zh_CN,88200
angular,angular,http://github.com/angular/angular,80200
storybookjs,storybook,http://github.com/storybookjs/storybook,69400
leonardomso,33-js-concepts,http://github.com/leonardomso/33-js-concepts,47800
ionic-team,ionic-framework,http://github.com/ionic-team/ionic-framework,46600
prettier,prettier,http://github.com/prettier/prettier,42200
SheetJS,sheetjs,http://github.com/SheetJS/sheetjs,29400
angular,angular-cli,http://github.com/angular/angular-cli,25300
angular,components,http://github.com/angular/components,22600
NativeScript,NativeScript,http://github.com/NativeScript/NativeScript,21000
jhipster,generator-jhipster,http://github.com/jhipster/generator-jhipster,19400
pubkey,rxdb,http://github.com/pubkey/rxdb,17100
handsontable,handsontable,http://github.com/handsontable/handsontable,16400
teambit,bit,http://github.com/teambit/bit,14900
goldbergyoni,javascript-testing-best-practices,http://github.com/goldbergyoni/javascript-testing-best-practices,14700
sweetalert2,sweetalert2,http://github.com/sweetalert2/sweetalert2,14300
linnovate,mean,http://github.com/linnovate/mean,12100
nrwl,nx,http://github.com/nrwl/nx,11400
codesandbox,codesandbox-client,http://github.com/codesandbox/codesandbox-client,11300
Chocobozzz,PeerTube,http://github.com/Chocobozzz/PeerTube,10400
PatrickJS,angular-starter,http://github.com/PatrickJS/angular-starter,10400
sudheerj,javascript-interview-questions,http://github.com/sudheerj/javascript-interview-questions,8800
angular,protractor,http://github.com/angular/protractor,8800
OnsenUI,OnsenUI,http://github.com/OnsenUI/OnsenUI,8600
dotansimha,graphql-code-generator,http://github.com/dotansimha/graphql-code-generator,8400
PatrickJS,awesome-angular,http://github.com/PatrickJS/awesome-angular,8200
text-mask,text-mask,http://github.com/text-mask/text-mask,8100
ag-grid,ag-grid,http://github.com/ag-grid/ag-grid,8100
NG-ZORRO,ng-zorro-antd,http://github.com/NG-ZORRO/ng-zorro-antd,8100
jasontaylordev,CleanArchitecture,http://github.com/jasontaylordev/CleanArchitecture,8000
