author_name,repo_name,repo_url,stars
ansible,ansible,http://github.com/ansible/ansible,52500
trailofbits,algo,http://github.com/trailofbits/algo,24900
StreisandEffect,streisand,http://github.com/StreisandEffect/streisand,22700
bregman-arie,devops-exercises,http://github.com/bregman-arie/devops-exercises,21700
kubernetes-sigs,kubespray,http://github.com/kubernetes-sigs/kubespray,12000
ansible,awx,http://github.com/ansible/awx,10800
easzlab,kubeasz,http://github.com/easzlab/kubeasz,7900
geerlingguy,ansible-for-devops,http://github.com/geerlingguy/ansible-for-devops,5500
khuedoan,homelab,http://github.com/khuedoan/homelab,5500
ansible-semaphore,semaphore,http://github.com/ansible-semaphore/semaphore,4800
rundeck,rundeck,http://github.com/rundeck/rundeck,4500
geerlingguy,mac-dev-playbook,http://github.com/geerlingguy/mac-dev-playbook,4400
Tikam02,DevOps-Guide,http://github.com/Tikam02/DevOps-Guide,4400
KubeOperator,KubeOperator,http://github.com/KubeOperator/KubeOperator,4200
MichaelCade,90DaysOfDevOps,http://github.com/MichaelCade/90DaysOfDevOps,3500
clong,DetectionLab,http://github.com/clong/DetectionLab,3400
ansible-community,molecule,http://github.com/ansible-community/molecule,3300
opendevops-cn,opendevops,http://github.com/opendevops-cn/opendevops,3100
werf,werf,http://github.com/werf/werf,3000
netbootxyz,netboot.xyz,http://github.com/netbootxyz/netboot.xyz,2900
welliamcao,OpsManage,http://github.com/welliamcao/OpsManage,2900
ansible-community,ansible-lint,http://github.com/ansible-community/ansible-lint,2700
dev-sec,ansible-collection-hardening,http://github.com/dev-sec/ansible-collection-hardening,2700
alixaxel,chrome-aws-lambda,http://github.com/alixaxel/chrome-aws-lambda,2600
litmuschaos,litmus,http://github.com/litmuschaos/litmus,2600
roots,trellis,http://github.com/roots/trellis,2300
ansistrano,deploy,http://github.com/ansistrano/deploy,2200
openshift,openshift-ansible,http://github.com/openshift/openshift-ansible,2100
fboender,ansible-cmdb,http://github.com/fboender/ansible-cmdb,2000
pytest-dev,pytest-testinfra,http://github.com/pytest-dev/pytest-testinfra,2000
