author_name,repo_name,repo_url,stars
arendst,Tasmota,http://github.com/arendst/Tasmota,17300
MarlinFirmware,Marlin,http://github.com/MarlinFirmware/Marlin,12800
arduino,Arduino,http://github.com/arduino/Arduino,12700
rwaldron,johnny-five,http://github.com/rwaldron/johnny-five,12600
SpacehuhnTech,esp8266_deauther,http://github.com/SpacehuhnTech/esp8266_deauther,9700
tinygo-org,tinygo,http://github.com/tinygo-org/tinygo,9600
espressif,arduino-esp32,http://github.com/espressif/arduino-esp32,8300
hybridgroup,gobot,http://github.com/hybridgroup/gobot,7600
gurugio,lowlevelprogramming-university,http://github.com/gurugio/lowlevelprogramming-university,7400
platformio,platformio-core,http://github.com/platformio/platformio-core,5700
bblanchon,ArduinoJson,http://github.com/bblanchon/ArduinoJson,5600
tzapu,WiFiManager,http://github.com/tzapu/WiFiManager,5100
hybridgroup,cylon,http://github.com/hybridgroup/cylon,3900
Arduino-IRremote,Arduino-IRremote,http://github.com/Arduino-IRremote/Arduino-IRremote,3600
blynkkk,blynk-library,http://github.com/blynkkk/blynk-library,3400
arduino,arduino-cli,http://github.com/arduino/arduino-cli,3300
NectarJS,nectarjs,http://github.com/NectarJS/nectarjs,3200
olikraus,u8g2,http://github.com/olikraus/u8g2,2900
gioblu,PJON,http://github.com/gioblu/PJON,2600
1technophile,OpenMQTTGateway,http://github.com/1technophile/OpenMQTTGateway,2500
Serial-Studio,Serial-Studio,http://github.com/Serial-Studio/Serial-Studio,2300
scottlawsonbc,audio-reactive-led-strip,http://github.com/scottlawsonbc/audio-reactive-led-strip,2300
isl-org,OpenBot,http://github.com/isl-org/OpenBot,2100
scottbez1,splitflap,http://github.com/scottbez1/splitflap,2100
crankyoldgit,IRremoteESP8266,http://github.com/crankyoldgit/IRremoteESP8266,2100
nRF24,RF24,http://github.com/nRF24/RF24,1900
stm32duino,Arduino_Core_STM32,http://github.com/stm32duino/Arduino_Core_STM32,1800
Bodmer,TFT_eSPI,http://github.com/Bodmer/TFT_eSPI,1800
blinker-iot,blinker-library,http://github.com/blinker-iot/blinker-library,1700
ThingPulse,esp8266-oled-ssd1306,http://github.com/ThingPulse/esp8266-oled-ssd1306,1600
