author_name,repo_name,repo_url,stars
atom,atom,http://github.com/atom/atom,57000
themerdev,themer,http://github.com/themerdev/themer,4600
nteract,hydrogen,http://github.com/nteract/hydrogen,3800
shd101wyy,markdown-preview-enhanced,http://github.com/shd101wyy/markdown-preview-enhanced,3600
miniflux,v2,http://github.com/miniflux/v2,3400
atom,teletype,http://github.com/atom/teletype,2400
mehcode,awesome-atom,http://github.com/mehcode/awesome-atom,1900
mmcdole,gofeed,http://github.com/mmcdole/gofeed,1800
joefitzgerald,go-plus,http://github.com/joefitzgerald/go-plus,1500
Glavin001,atom-beautify,http://github.com/Glavin001/atom-beautify,1500
simplepie,simplepie,http://github.com/simplepie/simplepie,1400
t9md,atom-vim-mode-plus,http://github.com/t9md/atom-vim-mode-plus,1400
kurtmckee,feedparser,http://github.com/kurtmckee/feedparser,1400
ocaml,merlin,http://github.com/ocaml/merlin,1400
MagicStack,MagicPython,http://github.com/MagicStack/MagicPython,1300
atom,apm,http://github.com/atom/apm,1200
file-icons,atom,http://github.com/file-icons/atom,1200
kettanaito,atomic-layout,http://github.com/kettanaito/atomic-layout,1100
atom,github,http://github.com/atom/github,1000
nmdias,FeedKit,http://github.com/nmdias/FeedKit,967
nathanbuchar,atom-one-dark-terminal,http://github.com/nathanbuchar/atom-one-dark-terminal,951
danhper,atomic-chrome,http://github.com/danhper/atomic-chrome,928
jesseweed,seti-ui,http://github.com/jesseweed/seti-ui,891
fwcd,kotlin-language-server,http://github.com/fwcd/kotlin-language-server,888
prettier,prettier-atom,http://github.com/prettier/prettier-atom,773
raphamorim,lucario,http://github.com/raphamorim/lucario,740
atom-community,atom-script,http://github.com/atom-community/atom-script,736
jpmonette,feed,http://github.com/jpmonette/feed,735
jasonmunro,cypht,http://github.com/jasonmunro/cypht,704
jekyll,jekyll-feed,http://github.com/jekyll/jekyll-feed,698
