author_name,repo_name,repo_url,stars
sindresorhus,awesome,http://github.com/sindresorhus/awesome,194000
vinta,awesome-python,http://github.com/vinta/awesome-python,120000
awesome-selfhosted,awesome-selfhosted,http://github.com/awesome-selfhosted/awesome-selfhosted,80300
avelino,awesome-go,http://github.com/avelino/awesome-go,77100
trimstray,the-book-of-secret-knowledge,http://github.com/trimstray/the-book-of-secret-knowledge,62700
papers-we-love,papers-we-love,http://github.com/papers-we-love/papers-we-love,53500
521xueweihan,HelloGitHub,http://github.com/521xueweihan/HelloGitHub,53200
Hack-with-Github,Awesome-Hacking,http://github.com/Hack-with-Github/Awesome-Hacking,49900
jaywcjlove,awesome-mac,http://github.com/jaywcjlove/awesome-mac,48200
DopplerHQ,awesome-interview-questions,http://github.com/DopplerHQ/awesome-interview-questions,45400
sindresorhus,awesome-nodejs,http://github.com/sindresorhus/awesome-nodejs,44100
wasabeef,awesome-android-ui,http://github.com/wasabeef/awesome-android-ui,42300
Solido,awesome-flutter,http://github.com/Solido/awesome-flutter,39800
prakhar1989,awesome-courses,http://github.com/prakhar1989/awesome-courses,39500
MunGell,awesome-for-beginners,http://github.com/MunGell/awesome-for-beginners,39200
vsouza,awesome-ios,http://github.com/vsouza/awesome-ios,39100
binhnguyennus,awesome-scalability,http://github.com/binhnguyennus/awesome-scalability,37600
fffaraz,awesome-cpp,http://github.com/fffaraz/awesome-cpp,36300
tiimgreen,github-cheat-sheet,http://github.com/tiimgreen/github-cheat-sheet,34000
dypsilon,frontend-dev-bookmarks,http://github.com/dypsilon/frontend-dev-bookmarks,33300
akullpp,awesome-java,http://github.com/akullpp/awesome-java,31600
serhii-londar,open-source-mac-os-apps,http://github.com/serhii-londar/open-source-mac-os-apps,29800
dkhamsing,open-source-ios-apps,http://github.com/dkhamsing/open-source-ios-apps,29600
brillout,awesome-react-components,http://github.com/brillout/awesome-react-components,29300
ziadoz,awesome-php,http://github.com/ziadoz/awesome-php,26300
herrbischoff,awesome-macos-command-line,http://github.com/herrbischoff/awesome-macos-command-line,25600
rust-unofficial,awesome-rust,http://github.com/rust-unofficial/awesome-rust,24800
goabstract,Awesome-Design-Tools,http://github.com/goabstract/Awesome-Design-Tools,24000
alebcay,awesome-shell,http://github.com/alebcay/awesome-shell,23100
sindresorhus,awesome-electron,http://github.com/sindresorhus/awesome-electron,22500
