author_name,repo_name,repo_url,stars
bregman-arie,devops-exercises,http://github.com/bregman-arie/devops-exercises,21700
microsoft,recommenders,http://github.com/microsoft/recommenders,12600
ramitsurana,awesome-kubernetes,http://github.com/ramitsurana/awesome-kubernetes,12600
pulumi,pulumi,http://github.com/pulumi/pulumi,11700
Azure,azure-quickstart-templates,http://github.com/Azure/azure-quickstart-templates,11600
mozilla,sops,http://github.com/mozilla/sops,9300
microsoft,computervision-recipes,http://github.com/microsoft/computervision-recipes,8400
caprover,caprover,http://github.com/caprover/caprover,8300
google,go-cloud,http://github.com/google/go-cloud,8300
microsoft,azuredatastudio,http://github.com/microsoft/azuredatastudio,6700
node-formidable,formidable,http://github.com/node-formidable/formidable,6100
infracost,infracost,http://github.com/infracost/infracost,5600
midwayjs,midway,http://github.com/midwayjs/midway,5400
thangchung,clean-code-dotnet,http://github.com/thangchung/clean-code-dotnet,4700
budtmo,docker-android,http://github.com/budtmo/docker-android,4300
aquasecurity,tfsec,http://github.com/aquasecurity/tfsec,4100
cloud-custodian,cloud-custodian,http://github.com/cloud-custodian/cloud-custodian,4100
nccgroup,ScoutSuite,http://github.com/nccgroup/ScoutSuite,4000
bridgecrewio,checkov,http://github.com/bridgecrewio/checkov,3900
Azure,autorest,http://github.com/Azure/autorest,3700
simov,grant,http://github.com/simov/grant,3600
Azure,azure-sdk-for-net,http://github.com/Azure/azure-sdk-for-net,3400
microsoft,SynapseML,http://github.com/microsoft/SynapseML,3200
hashicorp,terraform-provider-azurerm,http://github.com/hashicorp/terraform-provider-azurerm,3200
Azure,azure-powershell,http://github.com/Azure/azure-powershell,3000
Azure,azure-cli,http://github.com/Azure/azure-cli,3000
Azure,MachineLearningNotebooks,http://github.com/Azure/MachineLearningNotebooks,2900
mlabouardy,komiser,http://github.com/mlabouardy/komiser,2700
APIs-guru,openapi-directory,http://github.com/APIs-guru/openapi-directory,2700
Azure,azure-sdk-for-python,http://github.com/Azure/azure-sdk-for-python,2600
