author_name,repo_name,repo_url,stars
babel,babel,http://github.com/babel/babel,40600
nylas,nylas-mail,http://github.com/nylas/nylas-mail,24700
kriasoft,react-starter-kit,http://github.com/kriasoft/react-starter-kit,21100
swc-project,swc,http://github.com/swc-project/swc,21100
avajs,ava,http://github.com/avajs/ava,19700
electron-react-boilerplate,electron-react-boilerplate,http://github.com/electron-react-boilerplate/electron-react-boilerplate,19200
SimulatedGREG,electron-vue,http://github.com/SimulatedGREG/electron-vue,14800
grab,front-end-guide,http://github.com/grab/front-end-guide,14300
jamiebuilds,babel-handbook,http://github.com/jamiebuilds/babel-handbook,10800
grommet,grommet,http://github.com/grommet/grommet,7800
developit,htm,http://github.com/developit/htm,7500
angular-fullstack,generator-angular-fullstack,http://github.com/angular-fullstack/generator-angular-fullstack,6100
ben-rogerson,twin.macro,http://github.com/ben-rogerson/twin.macro,5500
documentationjs,documentation,http://github.com/documentationjs/documentation,5500
insin,nwb,http://github.com/insin/nwb,5400
egoist,poi,http://github.com/egoist/poi,5300
thinkjs,thinkjs,http://github.com/thinkjs/thinkjs,5300
transitive-bullshit,create-react-library,http://github.com/transitive-bullshit/create-react-library,4600
babel,babel-loader,http://github.com/babel/babel-loader,4600
fkling,astexplorer,http://github.com/fkling/astexplorer,4500
duxianwei520,react,http://github.com/duxianwei520/react,4500
jaredpalmer,backpack,http://github.com/jaredpalmer/backpack,4500
babel,minify,http://github.com/babel/minify,4300
tleunen,babel-plugin-module-resolver,http://github.com/tleunen/babel-plugin-module-resolver,3200
thx,gogocode,http://github.com/thx/gogocode,3000
andywer,webpack-blocks,http://github.com/andywer/webpack-blocks,3000
babel,babel-eslint,http://github.com/babel/babel-eslint,3000
kunalkapadia,express-mongoose-es6-rest-api,http://github.com/kunalkapadia/express-mongoose-es6-rest-api,2800
privatenumber,esbuild-loader,http://github.com/privatenumber/esbuild-loader,2800
uidotdev,react-course,http://github.com/uidotdev/react-course,2500
