author_name,repo_name,repo_url,stars
jlevy,the-art-of-command-line,http://github.com/jlevy/the-art-of-command-line,104000
nvm-sh,nvm,http://github.com/nvm-sh/nvm,56100
junegunn,fzf,http://github.com/junegunn/fzf,42700
dylanaraps,pure-bash-bible,http://github.com/dylanaraps/pure-bash-bible,30700
google,zx,http://github.com/google/zx,29800
koalaman,shellcheck,http://github.com/koalaman/shellcheck,28100
mathiasbynens,dotfiles,http://github.com/mathiasbynens/dotfiles,27600
LeCoupa,awesome-cheatsheets,http://github.com/LeCoupa/awesome-cheatsheets,27500
acmesh-official,acme.sh,http://github.com/acmesh-official/acme.sh,25800
starship,starship,http://github.com/starship/starship,23500
alebcay,awesome-shell,http://github.com/alebcay/awesome-shell,23100
jaywcjlove,linux-command,http://github.com/jaywcjlove/linux-command,18200
Nyr,openvpn-install,http://github.com/Nyr/openvpn-install,14700
dylanaraps,neofetch,http://github.com/dylanaraps/neofetch,14500
rbenv,rbenv,http://github.com/rbenv/rbenv,14000
powerline,powerline,http://github.com/powerline/powerline,13200
shelljs,shelljs,http://github.com/shelljs/shelljs,13100
Bash-it,bash-it,http://github.com/Bash-it/bash-it,12800
withfig,autocomplete,http://github.com/withfig/autocomplete,12800
faressoft,terminalizer,http://github.com/faressoft/terminalizer,12400
jessfraz,dockerfiles,http://github.com/jessfraz/dockerfiles,12400
denisidoro,navi,http://github.com/denisidoro/navi,10400
codota,TabNine,http://github.com/codota/TabNine,9000
rgcr,m-cli,http://github.com/rgcr/m-cli,8800
alexanderepstein,Bash-Snippets,http://github.com/alexanderepstein/Bash-Snippets,8700
direnv,direnv,http://github.com/direnv/direnv,8500
kanaka,mal,http://github.com/kanaka/mal,8500
skywind3000,awesome-cheatsheets,http://github.com/skywind3000/awesome-cheatsheets,8300
carlospolop,PEASS-ng,http://github.com/carlospolop/PEASS-ng,8100
angristan,openvpn-install,http://github.com/angristan/openvpn-install,7700
