author_name,repo_name,repo_url,stars
bitcoin,bitcoin,http://github.com/bitcoin/bitcoin,62500
ccxt,ccxt,http://github.com/ccxt/ccxt,23700
HelloZeroNet,ZeroNet,http://github.com/HelloZeroNet/ZeroNet,17400
freqtrade,freqtrade,http://github.com/freqtrade/freqtrade,16700
askmike,gekko,http://github.com/askmike/gekko,9900
bbfamily,abu,http://github.com/bbfamily/abu,8900
solana-labs,solana,http://github.com/solana-labs/solana,7600
lbryio,lbry-sdk,http://github.com/lbryio/lbry-sdk,7100
dvf,blockchain,http://github.com/dvf/blockchain,6800
yeasy,blockchain_guide,http://github.com/yeasy/blockchain_guide,6000
lightningnetwork,lnd,http://github.com/lightningnetwork/lnd,5900
spesmilo,electrum,http://github.com/spesmilo/electrum,5500
butor,blackbird,http://github.com/butor/blackbird,5500
btcsuite,btcd,http://github.com/btcsuite/btcd,4700
bitcoinjs,bitcoinjs-lib,http://github.com/bitcoinjs/bitcoinjs-lib,4500
bitcoinj,bitcoinj,http://github.com/bitcoinj/bitcoinj,4200
bisq-network,bisq,http://github.com/bisq-network/bisq,3900
CryptoSignal,Crypto-Signal,http://github.com/CryptoSignal/Crypto-Signal,3900
michaelgrosner,tribeca,http://github.com/michaelgrosner/tribeca,3700
jesse-ai,jesse,http://github.com/jesse-ai/jesse,3700
coinpride,CryptoList,http://github.com/coinpride/CryptoList,3700
Scanate,EthList,http://github.com/Scanate/EthList,3600
RomelTorres,alpha_vantage,http://github.com/RomelTorres/alpha_vantage,3600
Zheaoli,awesome-coins,http://github.com/Zheaoli/awesome-coins,3500
bitpay,wallet,http://github.com/bitpay/wallet,3400
btcpayserver,btcpayserver,http://github.com/btcpayserver/btcpayserver,3400
Jeiwan,blockchain_go,http://github.com/Jeiwan/blockchain_go,3300
SqueezerIO,squeezer,http://github.com/SqueezerIO/squeezer,3300
cointop-sh,cointop,http://github.com/cointop-sh/cointop,3100
bitcoin-wallet,bitcoin-wallet,http://github.com/bitcoin-wallet/bitcoin-wallet,2800
