author_name,repo_name,repo_url,stars
twbs,bootstrap,http://github.com/twbs/bootstrap,156000
ColorlibHQ,AdminLTE,http://github.com/ColorlibHQ/AdminLTE,40600
tabler,tabler,http://github.com/tabler/tabler,25300
mdbootstrap,mdb-ui-kit,http://github.com/mdbootstrap/mdb-ui-kit,22100
react-bootstrap,react-bootstrap,http://github.com/react-bootstrap/react-bootstrap,20500
ColorlibHQ,gentelella,http://github.com/ColorlibHQ/gentelella,20500
verekia,js-stack-from-scratch,http://github.com/verekia/js-stack-from-scratch,19000
bootstrap-vue,bootstrap-vue,http://github.com/bootstrap-vue/bootstrap-vue,13700
thomaspark,bootswatch,http://github.com/thomaspark/bootswatch,13500
uxsolutions,bootstrap-datepicker,http://github.com/uxsolutions/bootstrap-datepicker,12500
wenzhixin,bootstrap-table,http://github.com/wenzhixin/bootstrap-table,11200
coreui,coreui-free-bootstrap-admin-template,http://github.com/coreui/coreui-free-bootstrap-admin-template,11100
reactstrap,reactstrap,http://github.com/reactstrap/reactstrap,10300
Templarian,MaterialDesign,http://github.com/Templarian/MaterialDesign,9900
snapappointments,bootstrap-select,http://github.com/snapappointments/bootstrap-select,9500
mdbootstrap,material-design-for-bootstrap,http://github.com/mdbootstrap/material-design-for-bootstrap,9500
StartBootstrap,startbootstrap-sb-admin-2,http://github.com/StartBootstrap/startbootstrap-sb-admin-2,9100
ng-bootstrap,ng-bootstrap,http://github.com/ng-bootstrap/ng-bootstrap,7900
BlackrockDigital,startbootstrap,http://github.com/BlackrockDigital/startbootstrap,7100
olton,Metro-UI-CSS,http://github.com/olton/Metro-UI-CSS,6900
twbs,icons,http://github.com/twbs/icons,5900
creativetimofficial,material-kit,http://github.com/creativetimofficial/material-kit,5700
febsteam,FEBS-Shiro,http://github.com/febsteam/FEBS-Shiro,5700
valor-software,ngx-bootstrap,http://github.com/valor-software/ngx-bootstrap,5400
Bttstrp,bootstrap-switch,http://github.com/Bttstrp/bootstrap-switch,5100
kartik-v,bootstrap-fileinput,http://github.com/kartik-v/bootstrap-fileinput,5100
jschr,bootstrap-modal,http://github.com/jschr/bootstrap-modal,5000
givanz,VvvebJs,http://github.com/givanz/VvvebJs,4800
cloudfavorites,favorites-web,http://github.com/cloudfavorites/favorites-web,4500
seyhunak,twitter-bootstrap-rails,http://github.com/seyhunak/twitter-bootstrap-rails,4500
