author_name,repo_name,repo_url,stars
CyC2018,CS-Notes,http://github.com/CyC2018/CS-Notes,148000
practical-tutorials,project-based-learning,http://github.com/practical-tutorials/project-based-learning,64400
azl397985856,leetcode,http://github.com/azl397985856/leetcode,47000
x64dbg,x64dbg,http://github.com/x64dbg/x64dbg,38200
fffaraz,awesome-cpp,http://github.com/fffaraz/awesome-cpp,36300
youngyangyang04,leetcode-master,http://github.com/youngyangyang04/leetcode-master,24500
microsoft,calculator,http://github.com/microsoft/calculator,24000
CMU-Perceptual-Computing-Lab,openpose,http://github.com/CMU-Perceptual-Computing-Lab/openpose,23600
huihut,interview,http://github.com/huihut/interview,23200
yuzu-emu,yuzu,http://github.com/yuzu-emu/yuzu,19500
TheAlgorithms,C-Plus-Plus,http://github.com/TheAlgorithms/C-Plus-Plus,18600
changkun,modern-cpp-tutorial,http://github.com/changkun/modern-cpp-tutorial,16800
ethereum,solidity,http://github.com/ethereum/solidity,15400
microsoft,vcpkg,http://github.com/microsoft/vcpkg,15100
catchorg,Catch2,http://github.com/catchorg/Catch2,14700
gabime,spdlog,http://github.com/gabime/spdlog,14100
AnthonyCalandra,modern-cpp-features,http://github.com/AnthonyCalandra/modern-cpp-features,13700
Qv2ray,Qv2ray,http://github.com/Qv2ray/Qv2ray,13300
doocs,leetcode,http://github.com/doocs/leetcode,13200
facebook,infer,http://github.com/facebook/infer,13100
ssloy,tinyrenderer,http://github.com/ssloy/tinyrenderer,12800
CoatiSoftware,Sourcetrail,http://github.com/CoatiSoftware/Sourcetrail,12500
google,tink,http://github.com/google/tink,12200
antlr,antlr4,http://github.com/antlr/antlr4,11800
kyleneideck,BackgroundMusic,http://github.com/kyleneideck/BackgroundMusic,11100
SFTtech,openage,http://github.com/SFTtech/openage,10900
compiler-explorer,compiler-explorer,http://github.com/compiler-explorer/compiler-explorer,10300
OpenRCT2,OpenRCT2,http://github.com/OpenRCT2/OpenRCT2,10300
Ciphey,Ciphey,http://github.com/Ciphey/Ciphey,9600
hmemcpy,milewski-ctfp-pdf,http://github.com/hmemcpy/milewski-ctfp-pdf,9300
