author_name,repo_name,repo_url,stars
Genymobile,scrcpy,http://github.com/Genymobile/scrcpy,62700
neovim,neovim,http://github.com/neovim/neovim,51700
git,git,http://github.com/git/git,41400
obsproject,obs-studio,http://github.com/obsproject/obs-studio,36900
fffaraz,awesome-cpp,http://github.com/fffaraz/awesome-cpp,36300
serhii-londar,open-source-mac-os-apps,http://github.com/serhii-londar/open-source-mac-os-apps,29800
FFmpeg,FFmpeg,http://github.com/FFmpeg/FFmpeg,28600
vim,vim,http://github.com/vim/vim,26500
curl,curl,http://github.com/curl/curl,24100
ggreer,the_silver_searcher,http://github.com/ggreer/the_silver_searcher,23400
huihut,interview,http://github.com/huihut/interview,23200
ruby,ruby,http://github.com/ruby/ruby,19000
mpv-player,mpv,http://github.com/mpv-player/mpv,18100
pbatard,rufus,http://github.com/pbatard/rufus,17800
google,flatbuffers,http://github.com/google/flatbuffers,17600
ossrs,srs,http://github.com/ossrs/srs,17500
oracle,graal,http://github.com/oracle/graal,16700
radareorg,radare2,http://github.com/radareorg/radare2,15900
microsoft,vcpkg,http://github.com/microsoft/vcpkg,15100
shadowsocks,shadowsocks-libev,http://github.com/shadowsocks/shadowsocks-libev,14800
allinurl,goaccess,http://github.com/allinurl/goaccess,14500
kovidgoyal,kitty,http://github.com/kovidgoyal/kitty,14000
jarun,nnn,http://github.com/jarun/nnn,13700
vurtun,nuklear,http://github.com/vurtun/nuklear,13400
facebook,infer,http://github.com/facebook/infer,13100
TheAlgorithms,C,http://github.com/TheAlgorithms/C,12700
CoatiSoftware,Sourcetrail,http://github.com/CoatiSoftware/Sourcetrail,12500
hashcat,hashcat,http://github.com/hashcat/hashcat,11900
qmk,qmk_firmware,http://github.com/qmk/qmk_firmware,11800
s-matyukevich,raspberry-pi-os,http://github.com/s-matyukevich/raspberry-pi-os,11300
