author_name,repo_name,repo_url,stars
CSSEGISandData,COVID-19,http://github.com/CSSEGISandData/COVID-19,28500
covid19india,covid19india-react,http://github.com/covid19india/covid19india-react,6900
nytimes,covid-19-data,http://github.com/nytimes/covid-19-data,6800
tokyo-metropolitan-gov,covid19,http://github.com/tokyo-metropolitan-gov/covid19,6300
owid,covid-19-data,http://github.com/owid/covid-19-data,5100
pcm-dpc,COVID-19,http://github.com/pcm-dpc/COVID-19,3900
ieee8023,covid-chestxray-dataset,http://github.com/ieee8023/covid-chestxray-dataset,2800
disease-sh,API,http://github.com/disease-sh/API,2400
geohot,corona,http://github.com/geohot/corona,2200
WorldHealthOrganization,app,http://github.com/WorldHealthOrganization/app,2100
ahmadawais,corona-cli,http://github.com/ahmadawais/corona-cli,1800
corona-warn-app,cwa-server,http://github.com/corona-warn-app/cwa-server,1800
ExpDev07,coronavirus-tracker-api,http://github.com/ExpDev07/coronavirus-tracker-api,1600
github,covid19-dashboard,http://github.com/github/covid19-dashboard,1500
soroushchehresa,awesome-coronavirus,http://github.com/soroushchehresa/awesome-coronavirus,1500
mhdhejazi,CoronaTracker,http://github.com/mhdhejazi/CoronaTracker,1500
neherlab,covid19_scenarios,http://github.com/neherlab/covid19_scenarios,1400
covidpass-org,covidpass,http://github.com/covidpass-org/covidpass,1200
pomber,covid19,http://github.com/pomber/covid19,1200
chandrikadeb7,Face-Mask-Detection,http://github.com/chandrikadeb7/Face-Mask-Detection,1200
chrismattmann,tika-python,http://github.com/chrismattmann/tika-python,1100
datasets,covid-19,http://github.com/datasets/covid-19,1100
FoldingAtHome,coronavirus,http://github.com/FoldingAtHome/coronavirus,1100
lindawangg,COVID-Net,http://github.com/lindawangg/COVID-Net,1100
cyberman54,ESP32-Paxcounter,http://github.com/cyberman54/ESP32-Paxcounter,991
ImperialCollegeLondon,covid19model,http://github.com/ImperialCollegeLondon/covid19model,942
UCSD-AI4H,COVID-CT,http://github.com/UCSD-AI4H/COVID-CT,941
MoH-Malaysia,covid19-public,http://github.com/MoH-Malaysia/covid19-public,918
nychealth,coronavirus-data,http://github.com/nychealth/coronavirus-data,910
cirosantilli,china-dictatorship,http://github.com/cirosantilli/china-dictatorship,786
