author_name,repo_name,repo_url,stars
electron,electron,http://github.com/electron/electron,101000
microsoft,playwright,http://github.com/microsoft/playwright,35400
FiloSottile,mkcert,http://github.com/FiloSottile/mkcert,34200
iamadamdev,bypass-paywalls-chrome,http://github.com/iamadamdev/bypass-paywalls-chrome,24100
ovity,octotree,http://github.com/ovity/octotree,21900
segmentio,nightmare,http://github.com/segmentio/nightmare,19100
jaywcjlove,linux-command,http://github.com/jaywcjlove/linux-command,18200
checkly,headless-recorder,http://github.com/checkly/headless-recorder,14000
prisma-archive,chromeless,http://github.com/prisma-archive/chromeless,13200
google,WebFundamentals,http://github.com/google/WebFundamentals,12900
casesandberg,react-color,http://github.com/casesandberg/react-color,10500
GoogleChrome,chrome-extensions-samples,http://github.com/GoogleChrome/chrome-extensions-samples,9600
crimx,ext-saladict,http://github.com/crimx/ext-saladict,8800
uBlock-LLC,uBlock,http://github.com/uBlock-LLC/uBlock,8100
gildas-lormeau,SingleFile,http://github.com/gildas-lormeau/SingleFile,7700
MetaMask,metamask-extension,http://github.com/MetaMask/metamask-extension,7500
chromedp,chromedp,http://github.com/chromedp/chromedp,7400
alvarcarto,url-to-pdf-api,http://github.com/alvarcarto/url-to-pdf-api,6600
kangvcar,InfoSpider,http://github.com/kangvcar/InfoSpider,6100
Kenshin,simpread,http://github.com/Kenshin/simpread,5600
yujiosaka,headless-chrome-crawler,http://github.com/yujiosaka/headless-chrome-crawler,5200
MontFerret,ferret,http://github.com/MontFerret/ferret,4900
firefox-devtools,debugger,http://github.com/firefox-devtools/debugger,4600
themerdev,themer,http://github.com/themerdev/themer,4600
burtonator,polar-bookshelf,http://github.com/burtonator/polar-bookshelf,4400
ajayyy,SponsorBlock,http://github.com/ajayyy/SponsorBlock,4400
nieweidong,fetool,http://github.com/nieweidong/fetool,4300
moonD4rk,HackBrowserData,http://github.com/moonD4rk/HackBrowserData,4300
browserless,chrome,http://github.com/browserless/chrome,4300
alyssaxuu,omni,http://github.com/alyssaxuu/omni,4100
