author_name,repo_name,repo_url,stars
metabase,metabase,http://github.com/metabase/metabase,27800
eclipse,deeplearning4j,http://github.com/eclipse/deeplearning4j,12400
logseq,logseq,http://github.com/logseq/logseq,11700
LightTable,LightTable,http://github.com/LightTable/LightTable,11700
penpot,penpot,http://github.com/penpot/penpot,9300
kanaka,mal,http://github.com/kanaka/mal,8500
lk-geimfari,awesomo,http://github.com/lk-geimfari/awesomo,8300
tonsky,datascript,http://github.com/tonsky/datascript,4600
reagent-project,reagent,http://github.com/reagent-project/reagent,4400
riemann,riemann,http://github.com/riemann/riemann,4100
weavejester,compojure,http://github.com/weavejester/compojure,3900
bbatsov,clojure-style-guide,http://github.com/bbatsov/clojure-style-guide,3800
izhangzhihao,intellij-rainbow-brackets,http://github.com/izhangzhihao/intellij-rainbow-brackets,3700
ring-clojure,ring,http://github.com/ring-clojure/ring,3400
status-im,status-react,http://github.com/status-im/status-react,3400
clojure-emacs,cider,http://github.com/clojure-emacs/cider,3300
viebel,klipse,http://github.com/viebel/klipse,2900
bhauman,lein-figwheel,http://github.com/bhauman/lein-figwheel,2900
tallesl,Rich-Hickey-fanclub,http://github.com/tallesl/Rich-Hickey-fanclub,2800
babashka,babashka,http://github.com/babashka/babashka,2600
twosigma,beakerx,http://github.com/twosigma/beakerx,2600
pedestal,pedestal,http://github.com/pedestal/pedestal,2500
clj-commons,aleph,http://github.com/clj-commons/aleph,2400
weavejester,hiccup,http://github.com/weavejester/hiccup,2400
razum2um,awesome-clojure,http://github.com/razum2um/awesome-clojure,2300
http-kit,http-kit,http://github.com/http-kit/http-kit,2300
defold,defold,http://github.com/defold/defold,2100
onyx-platform,onyx,http://github.com/onyx-platform/onyx,2000
anmonteiro,lumo,http://github.com/anmonteiro/lumo,1900
xtdb,xtdb,http://github.com/xtdb/xtdb,1800
