author_name,repo_name,repo_url,stars
realm,SwiftLint,http://github.com/realm/SwiftLint,15800
facebook,infer,http://github.com/facebook/infer,13100
analysis-tools-dev,static-analysis,http://github.com/analysis-tools-dev/static-analysis,9700
checkstyle,checkstyle,http://github.com/checkstyle/checkstyle,6900
SonarSource,sonarqube,http://github.com/SonarSource/sonarqube,6600
Kristories,awesome-guidelines,http://github.com/Kristories/awesome-guidelines,6500
facebook,pyre-check,http://github.com/facebook/pyre-check,5800
reviewdog,reviewdog,http://github.com/reviewdog/reviewdog,4800
simplecov-ruby,simplecov,http://github.com/simplecov-ruby/simplecov,4400
detekt,detekt,http://github.com/detekt/detekt,4400
import-js,eslint-plugin-import,http://github.com/import-js/eslint-plugin-import,3900
PyCQA,pylint,http://github.com/PyCQA/pylint,3900
pmd,pmd,http://github.com/pmd/pmd,3800
phpro,grumphp,http://github.com/phpro/grumphp,3700
htmlhint,HTMLHint,http://github.com/htmlhint/HTMLHint,2800
kucherenko,jscpd,http://github.com/kucherenko/jscpd,2500
codeclimate,codeclimate,http://github.com/codeclimate/codeclimate,2300
trekhleb,state-of-the-art-shitcode,http://github.com/trekhleb/state-of-the-art-shitcode,2300
uber,piranha,http://github.com/uber/piranha,1900
wemake-services,wemake-python-styleguide,http://github.com/wemake-services/wemake-python-styleguide,1800
ehmicky,cross-platform-node-guide,http://github.com/ehmicky/cross-platform-node-guide,1200
Tencent,feflow,http://github.com/Tencent/feflow,1100
urish,typewiz,http://github.com/urish/typewiz,1100
Tencent,CodeAnalysis,http://github.com/Tencent/CodeAnalysis,1000
jakzal,phpqa,http://github.com/jakzal/phpqa,998
imgbot,Imgbot,http://github.com/imgbot/Imgbot,876
joshuaclayton,unused,http://github.com/joshuaclayton/unused,875
SonarSource,SonarJS,http://github.com/SonarSource/SonarJS,792
pdepend,pdepend,http://github.com/pdepend/pdepend,786
SonarSource,SonarTS,http://github.com/SonarSource/SonarTS,767
