author_name,repo_name,repo_url,stars
ovity,octotree,http://github.com/ovity/octotree,21900
gitpod-io,gitpod,http://github.com/gitpod-io/gitpod,7400
reviewdog,reviewdog,http://github.com/reviewdog/reviewdog,4800
danger,danger,http://github.com/danger/danger,4800
danger,danger-js,http://github.com/danger/danger-js,4200
joho,awesome-code-review,http://github.com/joho/awesome-code-review,3300
ajinabraham,nodejsscan,http://github.com/ajinabraham/nodejsscan,1900
houndci,hound,http://github.com/houndci/hound,1900
mbj,mutant,http://github.com/mbj/mutant,1800
microsoft,vscode-pull-request-github,http://github.com/microsoft/vscode-pull-request-github,1800
crev-dev,cargo-crev,http://github.com/crev-dev/cargo-crev,1500
reviewboard,reviewboard,http://github.com/reviewboard/reviewboard,1400
ryanmcdermott,code-review-tips,http://github.com/ryanmcdermott/code-review-tips,1100
bit4woo,python_sec,http://github.com/bit4woo/python_sec,1100
Tencent,CodeAnalysis,http://github.com/Tencent/CodeAnalysis,1000
code-review-checklists,java-concurrency,http://github.com/code-review-checklists/java-concurrency,1000
jiangsir404,Audit-Learning,http://github.com/jiangsir404/Audit-Learning,829
TeamCodeStream,codestream,http://github.com/TeamCodeStream/codestream,757
enlightn,enlightn,http://github.com/enlightn/enlightn,630
palantir,policy-bot,http://github.com/palantir/policy-bot,463
bsamseth,cpp-project,http://github.com/bsamseth/cpp-project,452
uwolfer,gerrit-intellij-plugin,http://github.com/uwolfer/gerrit-intellij-plugin,434
mookid,diffr,http://github.com/mookid/diffr,416
mgreiler,code-review-checklist,http://github.com/mgreiler/code-review-checklist,402
JetBrains,Qodana,http://github.com/JetBrains/Qodana,347
dpnishant,raptor,http://github.com/dpnishant/raptor,329
sjparkinson,static-review,http://github.com/sjparkinson/static-review,325
wandersoncferreira,code-review,http://github.com/wandersoncferreira/code-review,298
burrito-brothers,shiba,http://github.com/burrito-brothers/shiba,289
charignon,github-review,http://github.com/charignon/github-review,277
