author_name,repo_name,repo_url,stars
ohmyzsh,ohmyzsh,http://github.com/ohmyzsh/ohmyzsh,142000
junegunn,fzf,http://github.com/junegunn/fzf,42700
sharkdp,bat,http://github.com/sharkdp/bat,33000
wagoodman,dive,http://github.com/wagoodman/dive,30500
sherlock-project,sherlock,http://github.com/sherlock-project/sherlock,30000
BurntSushi,ripgrep,http://github.com/BurntSushi/ripgrep,29900
google,zx,http://github.com/google/zx,29800
chubin,cheat.sh,http://github.com/chubin/cheat.sh,28500
cli,cli,http://github.com/cli/cli,27600
jesseduffield,lazygit,http://github.com/jesseduffield/lazygit,26200
spf13,cobra,http://github.com/spf13/cobra,25700
angular,angular-cli,http://github.com/angular/angular-cli,25300
alebcay,awesome-shell,http://github.com/alebcay/awesome-shell,23100
google,python-fire,http://github.com/google/python-fire,22100
tqdm,tqdm,http://github.com/tqdm/tqdm,21500
n8n-io,n8n,http://github.com/n8n-io/n8n,21500
sharkdp,fd,http://github.com/sharkdp/fd,21000
ibraheemdev,modern-unix,http://github.com/ibraheemdev/modern-unix,20900
vercel,pkg,http://github.com/vercel/pkg,19900
avajs,ava,http://github.com/avajs/ava,19700
chalk,chalk,http://github.com/chalk/chalk,18200
vadimdemedes,ink,http://github.com/vadimdemedes/ink,18000
urfave,cli,http://github.com/urfave/cli,17500
svg,svgo,http://github.com/svg/svgo,17400
gpakosz,.tmux,http://github.com/gpakosz/.tmux,16200
allinurl,goaccess,http://github.com/allinurl/goaccess,14500
FormidableLabs,webpack-dashboard,http://github.com/FormidableLabs/webpack-dashboard,13900
jarun,nnn,http://github.com/jarun/nnn,13700
infinitered,ignite,http://github.com/infinitered/ignite,13600
asdf-vm,asdf,http://github.com/asdf-vm/asdf,13500
