author_name,repo_name,repo_url,stars
vercel,next.js,http://github.com/vercel/next.js,83300
rust-lang,rust,http://github.com/rust-lang/rust,64400
webpack,webpack,http://github.com/webpack/webpack,60700
sveltejs,svelte,http://github.com/sveltejs/svelte,56700
gatsbyjs,gatsby,http://github.com/gatsbyjs/gatsby,52600
JetBrains,kotlin,http://github.com/JetBrains/kotlin,40600
babel,babel,http://github.com/babel/babel,40600
parcel-bundler,parcel,http://github.com/parcel-bundler/parcel,40400
evanw,esbuild,http://github.com/evanw/esbuild,31000
vlang,v,http://github.com/vlang/v,27200
markedjs,marked,http://github.com/markedjs/marked,27200
swc-project,swc,http://github.com/swc-project/swc,21100
vercel,pkg,http://github.com/vercel/pkg,19900
v8,v8,http://github.com/v8/v8,19200
AssemblyScript,assemblyscript,http://github.com/AssemblyScript/assemblyscript,13600
ziglang,zig,http://github.com/ziglang/zig,12900
Konloch,bytecode-viewer,http://github.com/Konloch/bytecode-viewer,12800
nim-lang,Nim,http://github.com/nim-lang/Nim,12600
gopherjs,gopherjs,http://github.com/gopherjs/gopherjs,11000
RustPython,RustPython,http://github.com/RustPython/RustPython,10800
compiler-explorer,compiler-explorer,http://github.com/compiler-explorer/compiler-explorer,10300
goplus,gop,http://github.com/goplus/gop,8000
apache,tvm,http://github.com/apache/tvm,7800
numba,numba,http://github.com/numba/numba,7400
JetBrains,kotlin-native,http://github.com/JetBrains/kotlin-native,7100
elm,compiler,http://github.com/elm/compiler,6800
aalhour,awesome-compilers,http://github.com/aalhour/awesome-compilers,6600
Nuitka,Nuitka,http://github.com/Nuitka/Nuitka,6500
DoctorWkt,acwj,http://github.com/DoctorWkt/acwj,6200
rescript-lang,rescript-compiler,http://github.com/rescript-lang/rescript-compiler,5700
