author_name,repo_name,repo_url,stars
localstack,localstack,http://github.com/localstack/localstack,39100
harness,drone,http://github.com/harness/drone,24700
jenkinsci,jenkins,http://github.com/jenkinsci/jenkins,18600
auchenberg,volkswagen,http://github.com/auchenberg/volkswagen,12300
openshift,origin,http://github.com/openshift/origin,8100
theonedev,onedev,http://github.com/theonedev/onedev,7000
gocd,gocd,http://github.com/gocd/gocd,6400
concourse,concourse,http://github.com/concourse/concourse,6200
buildbot,buildbot,http://github.com/buildbot/buildbot,4800
gaia-pipeline,gaia,http://github.com/gaia-pipeline/gaia,4600
Strider-CD,strider,http://github.com/Strider-CD/strider,4600
jenkins-x,jx,http://github.com/jenkins-x/jx,4100
ovh,cds,http://github.com/ovh/cds,3800
xcpretty,xcpretty,http://github.com/xcpretty/xcpretty,3700
hygieia,hygieia,http://github.com/hygieia/hygieia,3700
cake-build,cake,http://github.com/cake-build/cake,3200
iterative,cml,http://github.com/iterative/cml,3000
werf,werf,http://github.com/werf/werf,3000
ligurio,awesome-ci,http://github.com/ligurio/awesome-ci,2800
JamesIves,github-pages-deploy-action,http://github.com/JamesIves/github-pages-deploy-action,2700
tox-dev,tox,http://github.com/tox-dev/tox,2700
TheLartians,ModernCppStarter,http://github.com/TheLartians/ModernCppStarter,2500
dancryer,PHPCI,http://github.com/dancryer/PHPCI,2400
dreamans,syncd,http://github.com/dreamans/syncd,2100
shivammathur,setup-php,http://github.com/shivammathur/setup-php,2000
houndci,hound,http://github.com/houndci/hound,1900
fabric8io,fabric8,http://github.com/fabric8io/fabric8,1800
lastbackend,lastbackend,http://github.com/lastbackend/lastbackend,1600
Flagsmith,flagsmith,http://github.com/Flagsmith/flagsmith,1500
nuke-build,nuke,http://github.com/nuke-build/nuke,1400
